ID,KIDSDRIV,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG,URBANICITY
425278942,0,12DEC42,56.0,0,13.0,"$113,370",No,$0,z_No,z_F,PhD,,49,Commercial,"$18,990",10,Pickup,no,"$1,841",2,No,0,$0,12.0,0,Highly Urban/ Urban
957817015,0,04NOV43,56.0,0,8.0,"$38,240",No,"$190,675",Yes,z_F,z_High School,Clerical,28,Private,"$16,220",4,z_SUV,no,$0,0,No,0,$0,,0,z_Highly Rural/ Rural
21872625,0,29NOV25,73.0,3,,"$116,520",No,"$362,060",Yes,M,PhD,Doctor,5,Private,"$19,540",14,Minivan,no,$0,0,No,0,$0,21.0,0,Highly Urban/ Urban
748665144,1,15MAR63,36.0,2,14.0,"$118,971",Yes,$0,z_No,M,Bachelors,Manager,44,Commercial,"$31,390",1,Panel Truck,yes,$0,0,No,0,"$5,295",14.0,1,Highly Urban/ Urban
933243471,0,05APR45,54.0,0,7.0,"$78,921",No,"$257,604",z_No,M,Bachelors,z_Blue Collar,5,Commercial,"$5,000",1,Pickup,yes,$0,0,No,2,$0,11.0,0,Highly Urban/ Urban
209684356,0,05OCT61,38.0,0,14.0,"$20,449",No,"$143,283",Yes,M,z_High School,Clerical,8,Private,"$16,580",4,Van,no,$0,0,No,1,$0,1.0,0,z_Highly Rural/ Rural
587255384,0,07JUL83,16.0,0,,"$49,522",No,"$155,030",z_No,M,Bachelors,z_Blue Collar,24,Commercial,"$14,980",4,Minivan,no,$0,0,No,0,"$4,566",,1,Highly Urban/ Urban
151495494,0,15SEP65,34.0,0,11.0,"$7,806",No,$0,Yes,M,z_High School,Student,33,Commercial,"$10,840",4,Pickup,yes,"$5,804",3,No,4,$0,1.0,0,Highly Urban/ Urban
59026158,0,20SEP45,54.0,0,15.0,"$144,348",No,"$367,562",Yes,M,Masters,,16,Commercial,"$27,810",12,Panel Truck,no,$0,0,No,1,$0,14.0,0,Highly Urban/ Urban
243826720,0,17MAR49,50.0,0,12.0,"$88,484",No,"$277,535",Yes,z_F,Bachelors,z_Blue Collar,42,Commercial,"$10,350",1,Minivan,no,"$3,068",2,No,4,$0,12.0,0,Highly Urban/ Urban
537150897,0,18JUN62,37.0,0,8.0,"$32,497",No,"$117,288",z_No,M,z_High School,Professional,5,Private,"$22,090",6,Minivan,no,$0,0,No,0,$0,1.0,0,Highly Urban/ Urban
896647378,0,23DEC54,44.0,3,15.0,"$38,108",No,"$196,692",Yes,M,<High School,Clerical,7,Private,"$5,900",7,Pickup,yes,"$40,943",2,Yes,0,$0,5.0,0,Highly Urban/ Urban
303127881,1,17NOV58,41.0,4,16.0,"$38,819",No,"$154,796",Yes,M,z_High School,z_Blue Collar,57,Commercial,"$27,910",10,Panel Truck,yes,"$4,858",2,No,0,$0,1.0,0,Highly Urban/ Urban
60512183,1,22JAN52,47.0,0,6.0,"$77,885",No,"$234,009",Yes,z_F,Bachelors,Manager,20,Commercial,"$19,040",4,Minivan,no,$0,0,No,0,$0,15.0,0,Highly Urban/ Urban
642987359,0,15MAY47,52.0,0,12.0,"$24,590",No,"$166,773",Yes,M,z_High School,z_Blue Collar,59,Commercial,"$10,350",14,Minivan,yes,"$1,507",1,No,0,$0,,0,Highly Urban/ Urban
547376272,0,05OCT61,38.0,0,9.0,"$156,060",No,"$381,438",Yes,M,Bachelors,z_Blue Collar,29,Commercial,"$25,230",1,Panel Truck,yes,"$8,207",1,No,7,$0,9.0,0,Highly Urban/ Urban
21582374,0,26JUN56,43.0,0,10.0,"$75,544",No,$0,z_No,z_F,Bachelors,Clerical,59,Private,"$15,550",11,z_SUV,no,$0,0,No,0,$0,,0,Highly Urban/ Urban
904178058,0,27APR52,47.0,0,10.0,"$68,244",No,"$206,961",Yes,M,z_High School,z_Blue Collar,19,Commercial,"$18,930",13,Van,no,"$1,928",3,No,0,$0,1.0,0,Highly Urban/ Urban
44554576,0,25APR36,63.0,0,,,No,,Yes,z_F,z_High School,Home Maker,28,Private,"$9,210",13,Sports Car,no,$0,0,No,0,$0,1.0,0,Highly Urban/ Urban
481160423,0,24APR48,51.0,0,16.0,,No,"$140,239",Yes,z_F,<High School,Clerical,54,Private,"$11,240",9,z_SUV,no,$0,0,No,0,$0,5.0,0,z_Highly Rural/ Rural
457288786,2,23NOV58,40.0,2,14.0,"$12,339",No,"$107,774",Yes,M,Masters,Manager,47,Commercial,"$22,310",1,Van,yes,"$3,816",3,No,5,"$7,406",15.0,1,Highly Urban/ Urban
906159781,0,19APR39,60.0,0,15.0,"$63,192",No,"$254,621",Yes,M,PhD,Lawyer,12,Private,"$13,820",6,Minivan,yes,"$7,575",2,No,0,$0,16.0,0,Highly Urban/ Urban
451534517,1,30JAN59,40.0,1,11.0,"$71,281",No,"$208,393",Yes,M,Bachelors,z_Blue Collar,43,Commercial,"$11,180",1,Pickup,no,$0,0,No,1,$0,9.0,0,z_Highly Rural/ Rural
473135731,0,09JAN47,52.0,0,12.0,"$35,631",No,"$155,972",Yes,M,z_High School,Clerical,39,Private,"$6,040",10,Minivan,yes,$0,0,No,0,$0,1.0,0,Highly Urban/ Urban
735124438,0,14AUG53,46.0,0,18.0,"$57,870",No,"$264,516",Yes,z_F,z_High School,z_Blue Collar,59,Commercial,"$17,500",4,Minivan,no,$0,0,No,0,$0,7.0,0,Highly Urban/ Urban
128888751,0,03SEP58,41.0,2,,$0,Yes,,z_No,z_F,z_High School,Student,19,Private,"$14,540",1,Sports Car,no,"$3,641",1,No,0,$0,1.0,0,Highly Urban/ Urban
825869639,0,21MAY63,36.0,1,13.0,,No,"$145,803",Yes,M,z_High School,Clerical,69,Commercial,"$30,370",17,Panel Truck,no,"$5,872",2,No,3,$0,1.0,0,Highly Urban/ Urban
639808409,0,21APR52,47.0,0,10.0,"$116,767",No,"$275,218",Yes,z_F,Bachelors,Manager,67,Private,"$34,610",1,Minivan,no,$0,0,No,1,"$4,155",8.0,1,Highly Urban/ Urban
326900696,0,16MAR53,46.0,0,,"$100,790",No,$0,z_No,z_F,Masters,Manager,34,Private,"$21,010",1,Sports Car,no,$0,0,No,0,"$4,256",12.0,1,Highly Urban/ Urban
802967671,0,25JUL45,54.0,0,12.0,"$38,349",No,"$169,694",z_No,z_F,Bachelors,Home Maker,27,Private,"$10,620",6,Sports Car,no,$0,0,No,0,$0,,0,Highly Urban/ Urban
393663506,3,09APR58,41.0,3,,"$109,957",No,"$284,462",Yes,z_F,Masters,Manager,32,Private,"$18,130",6,z_SUV,no,$0,0,Yes,4,"$5,853",,1,Highly Urban/ Urban
654917316,0,12MAY33,66.0,0,13.0,"$70,618",No,"$263,650",Yes,z_F,PhD,Home Maker,89,Private,"$19,810",6,Sports Car,no,$0,0,No,0,"$7,539",13.0,1,Highly Urban/ Urban
197773530,0,13AUG43,56.0,2,13.0,"$60,286",No,"$213,596",Yes,z_F,Bachelors,z_Blue Collar,43,Commercial,"$13,130",6,z_SUV,no,$0,0,No,0,$0,11.0,0,z_Highly Rural/ Rural
318824902,0,29DEC49,49.0,0,13.0,"$46,507",No,"$153,166",Yes,z_F,z_High School,Professional,32,Private,"$5,590",6,z_SUV,no,"$14,074",3,Yes,0,$0,7.0,0,Highly Urban/ Urban
498874820,0,06OCT68,31.0,1,6.0,"$53,633",Yes,"$183,242",z_No,z_F,z_High School,Professional,46,Private,"$9,960",1,z_SUV,no,"$4,646",2,No,9,$0,1.0,0,Highly Urban/ Urban
805276249,0,26MAR79,20.0,0,8.0,"$4,209",No,"$80,790",z_No,z_F,z_High School,Clerical,23,Private,"$10,570",1,z_SUV,no,$0,0,No,4,"$4,400",9.0,1,Highly Urban/ Urban
45830738,0,25JUL66,33.0,4,12.0,"$20,822",No,"$76,022",Yes,z_F,z_High School,Home Maker,46,Private,"$6,880",13,z_SUV,no,"$7,896",3,No,0,$866,1.0,1,Highly Urban/ Urban
338776264,1,24JUL43,56.0,2,17.0,,No,"$315,504",Yes,z_F,Bachelors,Professional,32,Private,"$28,740",1,Minivan,no,$0,0,No,1,$0,6.0,0,Highly Urban/ Urban
133941548,1,21OCT62,37.0,2,10.0,"$30,843",No,"$132,741",Yes,z_F,z_High School,Clerical,33,Private,"$8,280",6,Sports Car,no,$0,0,No,1,$0,8.0,0,Highly Urban/ Urban
602672341,0,06SEP62,37.0,2,11.0,"$36,073",No,,Yes,M,<High School,Clerical,32,Private,"$8,810",1,Pickup,yes,$0,0,No,0,$0,6.0,0,Highly Urban/ Urban
991962838,0,29JAN59,40.0,3,13.0,"$57,137",No,"$197,882",Yes,z_F,Bachelors,z_Blue Collar,24,Commercial,"$21,520",6,Minivan,no,$0,0,No,0,$0,9.0,0,z_Highly Rural/ Rural
743269882,2,27JUL56,43.0,3,14.0,"$31,713",No,"$147,621",Yes,M,Masters,,39,Commercial,"$27,460",1,Panel Truck,yes,"$3,594",1,No,3,$0,11.0,0,Highly Urban/ Urban
420707558,0,04MAY56,43.0,0,10.0,,No,$0,z_No,z_F,<High School,Clerical,50,Private,"$17,640",4,z_SUV,no,$0,0,No,3,$0,1.0,0,z_Highly Rural/ Rural
7884893,0,11AUG58,41.0,0,12.0,"$56,447",No,"$205,861",z_No,M,Bachelors,z_Blue Collar,29,Commercial,"$24,660",7,Minivan,yes,$0,0,No,0,"$5,901",8.0,1,Highly Urban/ Urban
23899383,0,07JAN52,47.0,0,14.0,"$96,111",No,"$288,719",Yes,M,PhD,Doctor,26,Private,"$27,270",6,Minivan,yes,$0,0,No,1,$0,12.0,0,Highly Urban/ Urban
997931907,2,07NOV60,39.0,2,11.0,"$30,290",No,"$134,576",Yes,z_F,<High School,z_Blue Collar,20,Commercial,"$18,270",3,Pickup,no,"$2,787",3,No,3,"$1,841",1.0,1,Highly Urban/ Urban
278503895,0,15MAY46,53.0,0,14.0,"$70,371",No,"$247,936",Yes,z_F,Bachelors,Professional,17,Private,"$14,690",13,z_SUV,no,$0,0,Yes,0,$0,14.0,0,Highly Urban/ Urban
603486842,0,14MAY51,48.0,0,16.0,"$203,751",No,"$504,144",Yes,z_F,PhD,Doctor,30,Private,"$26,680",6,Minivan,no,$0,0,No,0,$0,13.0,0,Highly Urban/ Urban
644129356,0,09FEB32,67.0,0,13.0,"$45,368",No,"$190,399",Yes,M,Bachelors,Professional,33,Private,"$20,410",4,Minivan,yes,"$7,445",2,No,5,$0,13.0,0,Highly Urban/ Urban
967829541,0,21SEP49,50.0,0,13.0,"$92,028",No,$0,z_No,M,Masters,Manager,40,Private,"$16,260",1,Minivan,yes,"$6,453",3,No,7,$0,18.0,0,Highly Urban/ Urban
280723155,0,10SEP50,49.0,0,15.0,"$95,637",No,"$277,837",Yes,M,z_High School,z_Blue Collar,9,Commercial,"$12,330",1,Minivan,yes,$0,0,No,1,$0,1.0,0,Highly Urban/ Urban
132575584,0,18SEP43,56.0,0,4.0,"$95,560",No,"$306,725",Yes,M,z_High School,Professional,80,Private,"$5,450",10,Pickup,yes,$0,0,No,0,$0,1.0,0,Highly Urban/ Urban
349219108,0,19OCT63,36.0,0,7.0,"$70,313",No,"$211,506",Yes,z_F,Bachelors,Professional,55,Private,"$14,960",6,Minivan,no,"$7,650",3,No,5,$0,4.0,0,Highly Urban/ Urban
499813882,0,02MAY68,31.0,3,13.0,"$55,504",Yes,$0,z_No,z_F,z_High School,z_Blue Collar,11,Commercial,"$10,150",1,Minivan,no,$0,0,No,0,$0,1.0,0,Highly Urban/ Urban
429128652,0,09JUN46,53.0,0,13.0,"$110,911",No,"$335,699",Yes,M,Bachelors,Professional,49,Commercial,"$25,840",17,Panel Truck,yes,"$10,474",2,No,1,$0,7.0,0,Highly Urban/ Urban
181478559,0,16JUL54,45.0,0,15.0,"$65,166",No,"$254,586",Yes,z_F,PhD,Doctor,41,Private,"$11,500",3,Sports Car,no,"$38,411",1,Yes,0,"$5,866",15.0,1,Highly Urban/ Urban
150742638,0,29OCT40,59.0,0,6.0,,No,"$401,237",Yes,z_F,PhD,Manager,26,Commercial,"$22,680",7,Pickup,no,$0,0,No,0,$0,8.0,0,Highly Urban/ Urban
293776930,0,31DEC53,45.0,1,9.0,"$51,221",No,"$166,715",Yes,M,<High School,Clerical,51,Private,"$16,550",1,Minivan,yes,$0,0,No,1,"$2,610",6.0,1,Highly Urban/ Urban
195054268,2,28SEP58,41.0,2,13.0,"$34,056",No,"$122,908",Yes,z_F,z_High School,z_Blue Collar,29,Commercial,"$6,180",4,Sports Car,no,$502,1,No,5,$0,1.0,0,Highly Urban/ Urban
478272261,0,26SEP53,46.0,0,,"$67,938",No,"$235,842",Yes,z_F,PhD,Lawyer,48,Private,"$13,690",1,z_SUV,no,"$4,656",4,No,0,$0,13.0,0,Highly Urban/ Urban
413295070,0,14JUL42,57.0,0,14.0,,No,"$403,628",Yes,M,Bachelors,Manager,5,Commercial,"$31,550",1,Panel Truck,yes,"$4,355",1,No,0,$0,8.0,0,Highly Urban/ Urban
327249781,3,24APR55,44.0,4,0.0,$0,Yes,$0,z_No,z_F,z_High School,Student,17,Private,"$1,500",3,Sports Car,no,"$2,602",3,No,8,"$2,686",9.0,1,Highly Urban/ Urban
720305468,0,30JUN55,44.0,2,14.0,"$62,721",No,"$165,941",Yes,z_F,Bachelors,Professional,42,Private,"$29,770",3,z_SUV,no,$0,0,No,0,$0,4.0,0,Highly Urban/ Urban
